,"Motor Case Outside Ave. (C)","Heatsink Inside Ave. (C)","PCO U Pad Ave. (C)","PCO U Package Ave. (C)","PCO V Pad Ave. (C)","PCO V Package Ave. (C)","PCO W Pad Ave. (C)","PCO W Package Ave. (C)"
"753","25.169","26.887","26.975","26.857","26.467","26.740","26.861","26.758"
"754","25.122","26.862","26.954","26.832","26.446","26.722","26.840","26.737"
"755","25.133","26.851","26.943","26.833","26.447","26.719","26.833","26.737"
"756","25.133","26.844","26.936","26.815","26.429","26.715","26.819","26.719"
"757","25.119","26.834","26.922","26.804","26.422","26.694","26.804","26.708"
"758","25.134","26.827","26.911","26.794","26.411","26.694","26.808","26.702"
"759","25.135","26.827","26.912","26.790","26.408","26.673","26.780","26.677"
"760","25.109","26.813","26.894","26.780","26.401","26.668","26.772","26.671"
"761","25.110","26.809","26.890","26.762","26.383","26.662","26.765","26.666"
"762","25.084","26.795","26.883","26.755","26.390","26.655","26.758","26.663"
"763","25.107","26.777","26.862","26.744","26.365","26.634","26.741","26.641"
"764","25.122","26.767","26.848","26.730","26.358","26.627","26.730","26.634"
"765","25.122","26.760","26.833","26.723","26.348","26.620","26.727","26.624"
"766","25.137","26.753","26.841","26.716","26.352","26.624","26.720","26.620"
"767","25.131","26.746","26.823","26.702","26.334","26.599","26.705","26.617"
"768","25.087","26.746","26.820","26.702","26.338","26.606","26.680","26.596"
"769","25.076","26.743","26.816","26.695","26.327","26.588","26.679","26.594"
"770","25.087","26.732","26.806","26.688","26.324","26.574","26.677","26.592"
"771","25.110","26.718","26.802","26.674","26.317","26.574","26.670","26.582"
"772","25.103","26.700","26.774","26.652","26.292","26.557","26.652","26.557"
"773","25.115","26.700","26.770","26.653","26.292","26.542","26.634","26.550"
"774","25.130","26.686","26.756","26.627","26.278","26.532","26.627","26.532"
"775","25.126","26.679","26.753","26.635","26.271","26.525","26.624","26.536"
"776","25.094","26.668","26.742","26.613","26.260","26.521","26.617","26.521"
"777","25.109","26.680","26.742","26.617","26.264","26.507","26.603","26.511"
"778","25.116","26.665","26.728","26.607","26.246","26.502","26.594","26.502"
"779","25.124","26.655","26.714","26.596","26.243","26.497","26.585","26.493"
"780","25.128","26.629","26.699","26.578","26.228","26.482","26.571","26.475"
"781","25.041","26.626","26.700","26.568","26.222","26.476","26.568","26.472"
"782","25.019","26.623","26.689","26.564","26.215","26.465","26.557","26.469"
"783","25.045","26.616","26.679","26.561","26.215","26.458","26.542","26.458"
"784","25.023","26.605","26.668","26.539","26.193","26.447","26.539","26.443"
"785","25.042","26.602","26.672","26.547","26.197","26.451","26.536","26.448"
"786","25.028","26.591","26.658","26.543","26.183","26.426","26.518","26.434"
"787","25.054","26.588","26.654","26.522","26.184","26.428","26.513","26.425"
"788","25.050","26.581","26.644","26.522","26.184","26.430","26.507","26.416"
"789","25.018","26.563","26.629","26.508","26.166","26.412","26.497","26.408"
"790","25.022","26.556","26.619","26.490","26.148","26.402","26.479","26.380"
"791","25.026","26.549","26.612","26.479","26.148","26.387","26.472","26.380"
"792","25.030","26.542","26.601","26.476","26.138","26.391","26.465","26.377"
"793","25.038","26.539","26.594","26.469","26.134","26.377","26.451","26.370"
"794","25.038","26.525","26.587","26.455","26.124","26.370","26.447","26.363"
"795","25.016","26.518","26.576","26.455","26.116","26.363","26.437","26.352"
"796","25.028","26.514","26.573","26.448","26.109","26.352","26.432","26.341"
"797","24.999","26.507","26.559","26.434","26.099","26.338","26.426","26.331"
"798","25.021","26.500","26.555","26.423","26.088","26.342","26.412","26.327"
"799","24.978","26.482","26.538","26.409","26.081","26.313","26.391","26.317"
"800","24.978","26.479","26.527","26.406","26.074","26.314","26.380","26.299"
"801","24.964","26.465","26.516","26.387","26.064","26.299","26.384","26.288"
"802","24.946","26.450","26.502","26.381","26.046","26.285","26.355","26.277"
"803","24.953","26.451","26.506","26.377","26.050","26.282","26.366","26.285"
"804","24.954","26.440","26.495","26.356","26.036","26.260","26.341","26.260"
"805","24.958","26.433","26.485","26.352","26.034","26.258","26.338","26.255"
"806","24.943","26.430","26.478","26.349","26.032","26.257","26.334","26.249"
"807","24.944","26.419","26.470","26.338","26.018","26.257","26.323","26.246"
"808","24.926","26.398","26.457","26.320","26.004","26.239","26.309","26.236"
"809","24.911","26.402","26.442","26.321","25.993","26.229","26.302","26.218"
"810","24.930","26.391","26.439","26.310","25.990","26.229","26.295","26.207"
"811","24.934","26.384","26.432","26.288","25.983","26.207","26.281","26.192"
"812","24.927","26.370","26.410","26.289","25.968","26.200","26.266","26.186"
"813","24.942","26.363","26.407","26.282","25.962","26.194","26.256","26.182"
"814","24.909","26.363","26.403","26.278","25.964","26.192","26.258","26.183"
"815","24.910","26.359","26.400","26.275","25.966","26.190","26.260","26.183"
"816","24.888","26.352","26.400","26.271","25.959","26.179","26.253","26.172"
"817","24.896","26.349","26.386","26.261","25.937","26.169","26.235","26.154"
"818","24.915","26.328","26.379","26.243","25.930","26.162","26.225","26.151"
"819","24.930","26.328","26.368","26.240","25.927","26.159","26.217","26.144"
"820","24.908","26.314","26.365","26.225","25.920","26.148","26.211","26.137"
"821","24.883","26.310","26.354","26.226","25.913","26.137","26.200","26.130"
"822","24.879","26.307","26.347","26.222","25.906","26.127","26.193","26.112"
"823","24.887","26.300","26.340","26.208","25.899","26.123","26.188","26.109"
"824","24.902","26.293","26.333","26.204","25.899","26.120","26.182","26.105"
"825","24.891","26.293","26.330","26.205","25.888","26.117","26.175","26.098"
"826","24.881","26.279","26.319","26.187","25.882","26.099","26.169","26.091"
"827","24.870","26.272","26.313","26.173","25.875","26.092","26.154","26.081"
"828","24.852","26.258","26.298","26.166","25.860","26.081","26.144","26.070"
"829","24.852","26.247","26.287","26.148","25.853","26.074","26.144","26.059"
"830","24.853","26.247","26.277","26.141","25.842","26.060","26.126","26.049"
"831","24.868","26.229","26.262","26.134","25.821","26.053","26.108","26.038"
"832","24.857","26.233","26.255","26.127","25.823","26.046","26.106","26.031"
"833","24.832","26.230","26.263","26.119","25.825","26.038","26.105","26.024"
"834","24.825","26.215","26.245","26.109","25.811","26.032","26.090","26.013"
"835","24.829","26.198","26.231","26.106","25.804","26.025","26.080","26.003"
"836","24.837","26.191","26.216","26.091","25.786","26.010","26.066","25.996"
"837","24.859","26.176","26.217","26.088","25.786","25.996","26.066","25.985"
"838","24.863","26.180","26.210","26.081","25.787","26.007","26.066","25.989"
"839","24.849","26.188","26.217","26.081","25.787","26.004","26.063","25.986"
"840","24.812","26.181","26.210","26.070","25.772","25.993","26.048","25.979"
"841","24.816","26.174","26.207","26.071","25.780","25.993","26.049","25.971"
"842","24.813","26.163","26.196","26.060","25.773","25.986","26.045","25.972"
"843","24.813","26.167","26.193","26.060","25.770","25.979","26.035","25.968"
"844","24.854","26.149","26.186","26.039","25.752","25.962","26.017","25.943"
"845","24.855","26.135","26.164","26.028","25.738","25.955","26.010","25.933"
"846","24.829","26.132","26.157","26.021","25.734","25.944","25.995","25.922"
"847","24.804","26.117","26.143","26.007","25.716","25.937","25.985","25.907"
"848","24.815","26.106","26.136","26.000","25.720","25.934","25.992","25.911"
"849","24.834","26.110","26.140","26.004","25.713","25.916","25.971","25.908"
"850","24.797","26.111","26.122","25.989","25.702","25.916","25.969","25.905"
"851","24.797","26.111","26.133","25.993","25.706","25.916","25.967","25.901"
"852","24.831","26.093","26.115","25.982","25.692","25.905","25.953","25.876"
"853","24.865","26.082","26.105","25.968","25.692","25.902","25.954","25.880"
