,"Motor Case Outside Ave. (C)","Heatsink Inside Ave. (C)","PCO U Pad Ave. (C)","PCO U Package Ave. (C)","PCO V Pad Ave. (C)","PCO V Package Ave. (C)","PCO W Pad Ave. (C)","PCO W Package Ave. (C)"
"144","21.322","32.191","43.701","47.123","35.106","40.825","47.805","45.742"
"145","21.345","32.236","43.759","47.178","35.150","40.873","47.871","45.815"
"146","21.371","32.284","43.807","47.226","35.195","40.925","47.929","45.859"
"147","21.401","32.328","43.862","47.277","35.235","40.972","47.991","45.918"
"148","21.406","32.376","43.921","47.336","35.276","41.024","48.054","45.980"
"149","21.414","32.420","43.972","47.391","35.324","41.079","48.116","46.039"
"150","21.433","32.465","44.016","47.435","35.361","41.127","48.178","46.105"
"151","21.482","32.564","44.130","47.545","35.446","41.230","48.303","46.218"
"152","21.497","32.605","44.167","47.593","35.483","41.274","48.354","46.273"
"153","21.527","32.642","44.215","47.648","35.517","41.318","48.409","46.328"
"154","21.539","32.690","44.273","47.699","35.565","41.369","48.461","46.391"
"155","21.551","32.735","44.328","47.747","35.605","41.413","48.516","46.431"
"156","21.566","32.775","44.369","47.791","35.635","41.457","48.571","46.486"
"157","21.581","32.819","44.413","47.835","35.676","41.494","48.622","46.545"
"158","21.586","32.857","44.461","47.890","35.720","41.546","48.681","46.596"
"159","21.597","32.901","44.508","47.931","35.754","41.590","48.729","46.648"
"160","21.636","32.979","44.600","48.027","35.824","41.678","48.846","46.765"
"161","21.666","33.023","44.645","48.074","35.865","41.719","48.901","46.816"
"162","21.681","33.060","44.692","48.119","35.902","41.759","48.949","46.850"
"163","21.685","33.108","44.736","48.170","35.939","41.811","49.007","46.905"
"164","21.668","33.142","44.781","48.207","35.973","41.851","49.062","46.956"
"165","21.661","33.175","44.828","48.251","36.002","41.892","49.110","47.007"
"166","21.676","33.220","44.862","48.302","36.050","41.943","49.169","47.066"
"167","21.717","33.260","44.910","48.347","36.084","41.980","49.213","47.110"
"168","21.744","33.305","44.961","48.394","36.121","42.028","49.257","47.162"
"169","21.800","33.390","45.053","48.486","36.199","42.120","49.378","47.268"
"170","21.812","33.423","45.097","48.530","36.225","42.149","49.415","47.308"
"171","21.816","33.460","45.123","48.564","36.262","42.186","49.456","47.349"
"172","21.832","33.490","45.174","48.608","36.292","42.238","49.503","47.397"
"173","21.840","33.534","45.218","48.648","36.329","42.271","49.551","47.445"
"174","21.848","33.568","45.255","48.692","36.373","42.311","49.606","47.496"
"175","21.852","33.605","45.289","48.726","36.399","42.345","49.650","47.533"
"176","21.878","33.642","45.329","48.766","36.429","42.385","49.691","47.573"
"177","21.905","33.686","45.377","48.821","36.462","42.437","49.749","47.632"
"178","21.950","33.760","45.462","48.909","36.544","42.514","49.845","47.724"
"179","21.973","33.798","45.509","48.946","36.581","42.562","49.893","47.779"
"180","21.985","33.845","45.557","48.998","36.622","42.599","49.944","47.827"
"181","21.996","33.875","45.594","49.035","36.648","42.636","49.981","47.867"
"182","22.012","33.905","45.624","49.075","36.678","42.669","50.029","47.911"
"183","22.023","33.946","45.671","49.105","36.715","42.709","50.069","47.956"
"184","22.039","33.979","45.701","49.138","36.741","42.735","50.116","47.992"
"185","22.058","34.016","45.742","49.193","36.782","42.787","50.171","48.040"
"186","22.073","34.057","45.789","49.223","36.822","42.824","50.212","48.092"
"187","22.100","34.113","45.859","49.304","36.882","42.894","50.296","48.176"
"188","22.119","34.165","45.889","49.348","36.912","42.938","50.336","48.210"
"189","22.131","34.198","45.933","49.392","36.945","42.975","50.387","48.257"
"190","22.150","34.243","45.985","49.436","36.990","43.023","50.435","48.305"
"191","22.151","34.272","46.014","49.462","37.016","43.041","50.468","48.346"
"192","22.148","34.302","46.048","49.496","37.046","43.086","50.516","48.383"
"193","22.163","34.332","46.088","49.543","37.079","43.130","50.556","48.434"
"194","22.178","34.376","46.122","49.573","37.102","43.163","50.603","48.467"
"195","22.194","34.399","46.148","49.603","37.124","43.185","50.629","48.504"
"196","22.239","34.462","46.229","49.673","37.191","43.256","50.714","48.585"
"197","22.258","34.499","46.258","49.710","37.228","43.285","50.758","48.622"
"198","22.270","34.525","46.295","49.743","37.254","43.322","50.794","48.663"
"199","22.282","34.562","46.332","49.773","37.288","43.363","50.838","48.703"
"200","22.275","34.603","46.373","49.817","37.317","43.396","50.879","48.744"
"201","22.287","34.629","46.406","49.857","37.351","43.429","50.915","48.773"
"202","22.313","34.652","46.432","49.876","37.373","43.455","50.948","48.810"
"203","22.347","34.689","46.465","49.909","37.403","43.489","50.989","48.844"
"204","22.348","34.715","46.498","49.946","37.426","43.525","51.033","48.891"
"205","22.393","34.778","46.554","50.009","37.485","43.599","51.110","48.961"
"206","22.438","34.812","46.587","50.042","37.519","43.622","51.150","49.002"
"207","22.475","34.849","46.628","50.083","37.552","43.655","51.190","49.046"
"208","22.505","34.882","46.672","50.116","37.585","43.692","51.231","49.087"
"209","22.528","34.912","46.694","50.156","37.608","43.721","51.264","49.109"
"210","22.551","34.938","46.735","50.186","37.645","43.755","51.304","49.153"
"211","22.574","34.979","46.772","50.215","37.679","43.788","51.337","49.194"
"212","22.589","35.009","46.798","50.252","37.708","43.825","51.381","49.231"
"213","22.604","35.046","46.846","50.303","37.745","43.866","51.422","49.275"
"214","22.602","35.109","46.901","50.358","37.794","43.918","51.484","49.341"
"215","22.569","35.131","46.927","50.370","37.813","43.940","51.517","49.364"
"216","22.585","35.143","46.950","50.389","37.832","43.970","51.550","49.397"
"217","22.615","35.191","46.994","50.429","37.872","44.006","51.591","49.441"
"218","22.616","35.225","47.020","50.466","37.906","44.036","51.631","49.475"
"219","22.660","35.251","47.057","50.499","37.932","44.066","51.661","49.511"
"220","22.694","35.295","47.087","50.532","37.969","44.106","51.705","49.548"
"221","22.724","35.325","47.120","50.565","37.999","44.143","51.745","49.578"
"222","22.740","35.351","47.157","50.605","38.032","44.173","51.774","49.629"
"223","22.774","35.403","47.212","50.653","38.074","44.229","51.844","49.689"
"224","22.804","35.444","47.246","50.698","38.104","44.251","51.867","49.715"
"225","22.820","35.467","47.283","50.727","38.137","44.284","51.910","49.755"
"226","22.831","35.493","47.305","50.757","38.163","44.318","51.936","49.778"
"227","22.828","35.512","47.331","50.786","38.178","44.347","51.973","49.815"
"228","22.851","35.556","47.375","50.826","38.212","44.380","52.003","49.859"
"229","22.866","35.589","47.408","50.859","38.249","44.414","52.039","49.885"
"230","22.874","35.608","47.434","50.878","38.271","44.443","52.072","49.918"
"231","22.904","35.634","47.468","50.918","38.301","44.466","52.109","49.951"
"232","22.954","35.705","47.534","50.970","38.354","44.529","52.168","50.018"
"233","22.965","35.727","47.564","51.007","38.380","44.562","52.201","50.044"
"234","22.984","35.761","47.593","51.040","38.413","44.591","52.245","50.080"
"235","23.011","35.787","47.627","51.070","38.439","44.625","52.271","50.106"
"236","23.019","35.809","47.646","51.092","38.462","44.640","52.297","50.150"
"237","23.052","35.843","47.690","51.136","38.499","44.673","52.337","50.172"
"238","23.071","35.873","47.716","51.158","38.521","44.710","52.374","50.213"
"239","23.094","35.899","47.745","51.198","38.544","44.740","52.400","50.239"
"240","23.113","35.929","47.779","51.221","38.574","44.759","52.426","50.279"
"241","23.148","35.977","47.831","51.276","38.629","44.814","52.485","50.323"
"242","23.152","36.011","47.853","51.295","38.645","44.844","52.511","50.353"
"243","23.145","36.026","47.879","51.324","38.667","44.873","52.547","50.386"
"244","23.153","36.056","47.916","51.361","38.697","44.903","52.580","50.423"
"245","23.183","36.085","47.946","51.390","38.730","44.925","52.606","50.449"
"246","23.191","36.119","47.979","51.424","38.749","44.955","52.639","50.478"
"247","23.181","36.141","48.001","51.446","38.772","44.974","52.665","50.504"
"248","23.196","36.160","48.020","51.475","38.809","45.003","52.691","50.530"
"249","23.204","36.190","48.046","51.490","38.820","45.030","52.717","50.560"
"250","23.246","36.242","48.120","51.553","38.884","45.085","52.780","50.626"
"251","23.258","36.265","48.135","51.579","38.906","45.104","52.806","50.652"
"252","23.255","36.295","48.168","51.612","38.932","45.141","52.850","50.681"
"253","23.281","36.324","48.191","51.634","38.951","45.167","52.879","50.718"
"254","23.307","36.347","48.227","51.678","38.985","45.196","52.905","50.744"
"255","23.338","36.380","48.261","51.700","39.014","45.230","52.945","50.784"
"256","23.349","36.414","48.287","51.734","39.037","45.256","52.971","50.806"
"257","23.376","36.436","48.313","51.759","39.059","45.282","52.997","50.836"
"258","23.369","36.455","48.343","51.778","39.086","45.301","53.037","50.862"
"259","23.392","36.511","48.395","51.841","39.134","45.356","53.086","50.917"
"260","23.422","36.537","48.424","51.863","39.168","45.386","53.111","50.950"
"261","23.453","36.556","48.457","51.896","39.194","45.416","53.145","50.980"
"262","23.483","36.597","48.483","51.926","39.216","45.438","53.174","51.013"
"263","23.498","36.616","48.506","51.948","39.242","45.471","53.189","51.031"
"264","23.521","36.642","48.539","51.977","39.258","45.486","53.226","51.068"
