Frequency,Amplitude
2399.946289,-122.625
2399.946777,-123.125
2399.947266,-120.625
2399.947754,-121.125
2399.947998,-120.125
2399.948486,-117.438
2399.948975,-118.938
2399.949463,-121.625
2399.949707,-122.625
2399.950439,-121.625
2399.950928,-120.938
2399.951172,-122.125
2399.95166,-122.625
2399.952148,-121.125
2399.952637,-121.125
2399.952881,-123.125
2399.953369,-123.125
2399.953857,-119.438
2399.954346,-123.625
2399.95459,-120.125
2399.955078,-120.125
2399.955811,-122.625
2399.956299,-122.125
2399.956543,-121.125
2399.957031,-123.625
2399.95752,-122.125
2399.958008,-121.125
2399.958252,-121.125
2399.95874,-122.125
2399.959229,-118.625
2399.959717,-119.625
2399.959961,-120.938
2399.960693,-123.125
2399.961182,-121.125
2399.961426,-123.625
2399.961914,-123.125
2399.962402,-123.625
2399.962891,-121.125
2399.963135,-117.938
2399.963623,-116.938
2399.964111,-120.625
2399.9646,-120.625
2399.964844,-123.125
2399.965332,-120.938
2399.966064,-122.625
2399.966553,-121.625
2399.966797,-121.625
2399.967285,-119.125
2399.967773,-120.438
2399.968262,-120.438
2399.968506,-123.625
2399.968994,-120.938
2399.969482,-122.125
2399.969971,-120.625
2399.970215,-122.125
2399.970703,-120.125
2399.971436,-120.438
2399.971924,-122.625
2399.972168,-118.438
2399.972656,-122.125
2399.973145,-116.125
2399.973389,-120.438
2399.973877,-121.125
2399.974365,-122.125
2399.974854,-122.625
2399.975098,-121.625
2399.975586,-122.125
2399.976074,-123.125
2399.976807,-122.625
2399.977051,-121.625
2399.977539,-122.125
2399.978027,-121.625
2399.978516,-118.625
2399.97876,-122.625
2399.979248,-122.625
2399.979736,-123.125
2399.980225,-123.125
2399.980469,-122.125
2399.980957,-121.625
2399.981689,-118.625
2399.982178,-120.625
2399.982422,-119.938
2399.98291,-116.438
2399.983398,-119.625
2399.983643,-120.438
2399.984131,-123.125
2399.984619,-122.125
2399.985107,-123.625
2399.985352,-120.438
2399.98584,-122.625
2399.986328,-121.625
2399.987061,-120.625
2399.987305,-122.625
2399.987793,-121.125
2399.988281,-120.125
2399.98877,-118.938
2399.989014,-122.625
2399.989502,-123.625
2399.98999,-120.625
2399.990479,-123.625
2399.990723,-123.125
2399.991211,-118.625
2399.991699,-118.125
2399.992432,-122.625
2399.992676,-120.625
2399.993164,-120.938
2399.993652,-118.625
2399.994141,-122.125
2399.994385,-121.125
2399.994873,-123.625
2399.995361,-123.125
2399.995606,-122.625
2399.996094,-116.938
2399.996582,-123.125
2399.99707,-123.625
2399.997559,-120.625
2399.998047,-121.625
2399.998535,-122.625
2399.999023,-121.125
2399.999268,-118.625
2399.999756,-118.938
2400.000244,-115.094
2400.000732,-118.094
2400.000977,-123.594
2400.001465,-122.094
2400.001953,-120.406
2400.002441,-120.406
2400.00293,-121.094
2400.003418,-122.594
2400.003906,-123.094
2400.004395,-119.906
2400.004639,-116.406
2400.005127,-120.906
2400.005615,-119.094
2400.005859,-120.594
2400.006348,-118.906
2400.006836,-120.094
2400.007324,-120.406
2400.007568,-121.594
2400.008301,-118.094
2400.008789,-122.594
2400.009277,-117.406
2400.009521,-122.594
2400.01001,-122.594
2400.010498,-120.094
2400.010986,-120.406
2400.01123,-119.906
2400.011719,-121.094
2400.012207,-119.906
2400.012695,-123.594
2400.012939,-122.094
2400.013672,-122.594
2400.01416,-120.094
2400.014648,-120.406
2400.014893,-122.594
2400.015381,-122.094
2400.015869,-121.094
2400.016357,-118.594
2400.016602,-117.594
2400.01709,-120.406
2400.017578,-120.906
2400.017822,-116.594
2400.018311,-123.094
2400.019043,-121.594
2400.019531,-120.906
2400.019775,-122.594
2400.020264,-119.906
2400.020752,-122.094
2400.02124,-120.094
2400.021484,-121.594
2400.021973,-122.594
2400.022461,-120.594
2400.022949,-123.094
2400.023193,-120.594
2400.023926,-121.094
2400.024414,-122.094
2400.024902,-123.594
2400.025146,-117.406
2400.025635,-120.406
2400.026123,-119.094
2400.026611,-116.406
2400.026855,-104.094
2400.027344,-99.094
2400.027832,-96.594
2400.028076,-100.094
2400.028564,-104.094
2400.029297,-108.594
2400.029785,-117.094
2400.030029,-122.594
2400.030518,-123.094
2400.031006,-121.594
2400.031494,-123.094
2400.031738,-120.094
2400.032227,-122.094
2400.032715,-119.906
2400.033203,-121.594
2400.033447,-123.594
2400.033936,-121.594
2400.034668,-122.594
2400.035156,-118.094
2400.0354,-123.094
2400.035889,-121.094
2400.036377,-123.094
2400.036865,-119.594
2400.037109,-122.594
2400.037598,-122.094
2400.038086,-122.094
2400.038574,-123.594
2400.038818,-122.094
2400.039307,-121.094
2400.040039,-121.094
2400.040283,-121.594
2400.040771,-122.594
2400.04126,-123.094
2400.041748,-120.406
2400.041992,-120.594
2400.04248,-119.906
2400.042969,-118.594
2400.043457,-120.094
2400.043701,-120.406
2400.044189,-121.094
2400.044922,-118.906
2400.04541,-119.594
2400.045654,-122.594
2400.046143,-122.094
2400.046631,-121.594
2400.047119,-120.594
2400.047363,-122.594
2400.047852,-119.406
2400.04834,-119.906
2400.048828,-123.594
2400.049072,-118.906
2400.049561,-122.094
2400.050293,-122.094
2400.050537,-123.094
2400.051025,-121.594
2400.051514,-122.594
2400.052002,-122.094
2400.052246,-123.094
2400.052734,-121.094
2400.053223,-120.094
2400.053711,-119.594
2400.053955,-118.906
2400.054443,-123.094
2400.054932,-123.094
2400.055664,-119.094
2400.055908,-122.594
2400.056396,-120.906
2400.056885,-119.406
2400.057373,-122.094
2400.057617,-116.594
2400.058105,-122.094
2400.058594,-122.594
2400.059082,-122.594
2400.059326,-117.906
2400.059814,-122.094
2400.060303,-123.594
2400.061035,-123.094
2400.061279,-122.094
2400.061768,-120.906
2400.062256,-120.094
2400.0625,-122.594
2400.062988,-122.594
2400.063477,-121.094
2400.063965,-118.094
2400.064209,-118.594
2400.064697,-119.094
2400.065186,-122.094
2400.065674,-119.906
2400.066162,-119.594
2400.06665,-122.094
2400.067139,-121.594
2400.067627,-122.594
2400.067871,-120.594
2400.068359,-121.594
2400.068848,-120.406
2400.069336,-122.094
2400.06958,-122.094
2400.070068,-120.094
2400.070557,-120.594
2400.071289,-123.594
2400.071533,-122.094
2400.072021,-122.094
2400.07251,-122.094
2400.072754,-119.906
2400.073242,-119.906
2400.07373,-122.594
2400.074219,-121.594
2400.074463,-119.094
2400.074951,-123.094
2400.075439,-119.406
2400.075928,-117.594
2400.076172,-119.406
2400.076904,-119.594
2400.077393,-122.094
2400.077881,-119.906
2400.078125,-121.094
2400.078613,-118.094
2400.079102,-118.906
2400.07959,-122.094
2400.079834,-122.094
2400.080322,-121.094
2400.080811,-122.594
2400.081299,-120.594
2400.081543,-121.594
2400.082275,-119.906
2400.082764,-121.094
2400.083252,-123.594
2400.083496,-123.094
2400.083984,-120.594
2400.084473,-121.594
2400.084717,-119.906
2400.085205,-122.594
2400.085693,-123.094
2400.086182,-118.406
2400.086426,-122.594
2400.087158,-122.094
2400.087646,-118.594
2400.088135,-117.594
2400.088379,-122.594
2400.088867,-122.594
2400.089355,-121.594
2400.089844,-117.594
2400.090088,-119.906
2400.090576,-122.594
2400.091064,-123.094
2400.091553,-118.094
2400.091797,-122.094
2400.092529,-118.406
2400.093018,-119.594
2400.093506,-123.094
2400.09375,-122.594
2400.094238,-119.594
2400.094727,-122.594
2400.094971,-123.094
2400.095459,-123.094
2400.095947,-120.594
2400.096436,-120.094
2400.09668,-122.094
2400.097168,-122.594
2400.0979,-121.094
2400.098389,-119.406
2400.098633,-120.906
2400.099121,-121.594
2400.099609,-115.906
2400.100098,-118.906
